rank,address,maker_volume_usd,taker_volume_usd,trades,pure_maker
6051,0x074bc7b05d8304e34d530e4a72573c1254f9af85,26440.04,8087.44,42,False
6052,0x98f7f155d55060cba9f111e32a8aa51399cd813e,26439.18,12799.84,23,False
6053,0xb12e44c474f62a76eacc8557613b87034fbe8c6c,26438.52,8361.7,215,False
6054,0x8c4af0c84b5995450532d46b0860503ebbad99ef,26434.92,16964.7,44,False
6055,0x47f392eb3a7bcbd8c5b8488a98e8a3c3f132e493,26433.39,3987.9,445,False
6056,0xa052de125afef2fe45dddc2d281ee73a4db9ad61,26430.77,54.09,103,False
6057,0x16976ed513f2ff9fa6c2f59dd4a50fd36173ed32,26407.43,8603.8,36,False
6058,0xfdeec180dabff6a0ad846df062678728425341d6,26407.4,11677.35,47,False
6059,0xa455d3c15f54d2f9ef5763eb463342d7523d3ef0,26397.59,21414.0,187,False
6060,0xbf2e9e13452510092e5a306fdd60e291694a8395,26396.74,13235.37,15,False
6061,0x8e2e3d9105987c8fec7c237fd7d87e341595c7eb,26391.84,9817.58,37,False
6062,0x7beaad22ec2dad1edae545ead0f3a5f9b8ad9ec9,26391.79,10229.74,37,False
6063,0xfda7cb998e2006b14e2e558d718333c1f1000746,26382.83,12105.76,43,False
6064,0xa8a6340cf2a18d236ee6863d4152ef5b7bbf10a5,26382.67,9279.03,35,False
6065,0x1e96f1357a71a465ae8d72af9f81f771d00f2dfa,26381.44,15008.94,24,False
6066,0x6a2491e7275cd3d32559bda63a1859feb6cd3845,26372.01,1068.67,2390,False
6067,0x3abb0ad58a51409f9a580be45c5845952463cf1c,26371.96,7754.33,45,False
6068,0x84c4652d3df9208622d8fc2af22090fe8f078f95,26366.39,12888.37,40,False
6069,0x7d76fb02d705574dd2ad875f6fd63868508a6c16,26350.42,10501.16,40,False
6070,0x4449c847c0c5790d7634c0a35f8762e0e77dcb66,26349.56,13210.54,27,False
6071,0x21ca71dc68ef1496fef364d3bd9a73905dd9450a,26347.46,16088.93,178,False
6072,0x4a5967224ae6625d89cc732930afd2eabca3eb2e,26342.46,7010.02,150,False
6073,0xd0ff30dc9feeec3644d54b363a6a901f03fb1db2,26341.81,12564.37,40,False
6074,0x1feb134b3c9988401c1719b3ba99de566d783f78,26337.32,12890.68,58,False
6075,0x649afcf5ac07547799fd538738b9516fbe1302af,26330.0,24087.46,64,False
6076,0xc36f625c43e3cbbc4c7878d79ff4ce05b3fea0bf,26328.44,0,23,True
6077,0x50367274fa84b47cc5ef950e66b31ac95367416b,26320.19,250.0,389,False
6078,0xb827f6876f0dab391b473f5e5b5cd7fc42e4664a,26308.19,6024.36,11,False
6079,0xcc1b4fae0f6773a1477fa21338f90ccb786562c9,26301.74,55241.58,93,False
6080,0xe630a1179063df3a97a60bf14de1202cf159f15c,26296.44,7521.7,46,False
6081,0x2c2f5538cf0396d0892a66dc5c101bc5fff0e57c,26293.13,8764.82,44,False
6082,0x70acc1befeab8303bf074bfdc62a70fb19508811,26286.48,13058.65,28,False
6083,0x743df58b8955e3ada2cffda4d399e111463bbab3,26286.0,11346.66,37,False
6084,0x4875485aa6d9eb85b7d602bf33561cc1da06e584,26285.31,8228.4,33,False
6085,0x09ded8376d9824635b878fad3cf5f2f14e4949b8,26279.7,14463.58,20,False
6086,0x1d0dbe5ed62c06fcf4907bda50f21e1935a59b6e,26277.56,45.9,390,False
6087,0xdd9e61a248c85dac828e62c439a813fc9d207147,26239.7,7338.56,34,False
